,state,year,agi_stub,income_type,amount
0,US,2012,0,returns,"145,025,450"
1,US,2012,1,returns,"2,248,050"
2,US,2012,2,returns,"22,638,580"
3,US,2012,3,returns,"34,059,840"
4,US,2012,4,returns,"33,965,310"
5,US,2012,5,returns,"19,113,420"
6,US,2012,6,returns,"12,138,470"
7,US,2012,7,returns,"15,587,490"
8,US,2012,8,returns,"4,181,040"
9,US,2012,9,returns,"700,970"
10,US,2012,10,returns,"392,270"
11,AL,2012,0,returns,"2,050,890"
12,AL,2012,1,returns,"25,810"
13,AL,2012,2,returns,"315,080"
14,AL,2012,3,returns,"575,210"
15,AL,2012,4,returns,"491,320"
16,AL,2012,5,returns,"254,210"
17,AL,2012,6,returns,"159,820"
18,AL,2012,7,returns,"182,240"
19,AL,2012,8,returns,"37,950"
20,AL,2012,9,returns,"6,280"
21,AL,2012,10,returns,"2,970"
22,AK,2012,0,returns,"363,090"
23,AK,2012,1,returns,"3,650"
24,AK,2012,2,returns,"59,510"
25,AK,2012,3,returns,"69,490"
26,AK,2012,4,returns,"80,900"
27,AK,2012,5,returns,"51,170"
28,AK,2012,6,returns,"35,110"
29,AK,2012,7,returns,"50,760"
30,AK,2012,8,returns,"10,410"
31,AK,2012,9,returns,"1,390"
32,AK,2012,10,returns,700
33,AZ,2012,0,returns,"2,761,490"
34,AZ,2012,1,returns,"49,690"
35,AZ,2012,2,returns,"380,570"
36,AZ,2012,3,returns,"706,020"
37,AZ,2012,4,returns,"689,180"
38,AZ,2012,5,returns,"359,300"
39,AZ,2012,6,returns,"224,820"
40,AZ,2012,7,returns,"272,130"
41,AZ,2012,8,returns,"65,010"
42,AZ,2012,9,returns,"9,850"
43,AZ,2012,10,returns,"4,930"
44,AR,2012,0,returns,"1,219,480"
45,AR,2012,1,returns,"16,690"
46,AR,2012,2,returns,"198,260"
47,AR,2012,3,returns,"333,330"
48,AR,2012,4,returns,"302,280"
49,AR,2012,5,returns,"155,530"
50,AR,2012,6,returns,"91,480"
51,AR,2012,7,returns,"95,290"
52,AR,2012,8,returns,"21,490"
53,AR,2012,9,returns,"3,430"
54,AR,2012,10,returns,"1,700"
55,CA,2012,0,returns,"16,909,110"
56,CA,2012,1,returns,"337,960"
57,CA,2012,2,returns,"2,385,370"
58,CA,2012,3,returns,"4,020,620"
59,CA,2012,4,returns,"3,851,790"
60,CA,2012,5,returns,"2,145,060"
61,CA,2012,6,returns,"1,361,410"
62,CA,2012,7,returns,"2,004,220"
63,CA,2012,8,returns,"643,120"
64,CA,2012,9,returns,"101,080"
65,CA,2012,10,returns,"58,490"
66,CO,2012,0,returns,"2,450,150"
67,CO,2012,1,returns,"42,410"
68,CO,2012,2,returns,"340,580"
69,CO,2012,3,returns,"510,040"
70,CO,2012,4,returns,"580,830"
71,CO,2012,5,returns,"342,330"
72,CO,2012,6,returns,"224,500"
73,CO,2012,7,returns,"307,840"
74,CO,2012,8,returns,"82,630"
75,CO,2012,9,returns,"12,480"
76,CO,2012,10,returns,"6,510"
77,CT,2012,0,returns,"1,741,480"
78,CT,2012,1,returns,"24,240"
79,CT,2012,2,returns,"258,240"
80,CT,2012,3,returns,"323,490"
81,CT,2012,4,returns,"368,160"
82,CT,2012,5,returns,"241,970"
83,CT,2012,6,returns,"163,710"
84,CT,2012,7,returns,"253,620"
85,CT,2012,8,returns,"80,700"
86,CT,2012,9,returns,"16,450"
87,CT,2012,10,returns,"10,900"
88,DE,2012,0,returns,"434,150"
89,DE,2012,1,returns,"4,630"
90,DE,2012,2,returns,"62,280"
91,DE,2012,3,returns,"95,400"
92,DE,2012,4,returns,"104,580"
93,DE,2012,5,returns,"61,050"
94,DE,2012,6,returns,"40,100"
95,DE,2012,7,returns,"52,330"
96,DE,2012,8,returns,"11,380"
97,DE,2012,9,returns,"1,590"
98,DE,2012,10,returns,810
99,DC,2012,0,returns,"327,730"
100,DC,2012,1,returns,"4,230"
101,DC,2012,2,returns,"37,260"
102,DC,2012,3,returns,"63,730"
103,DC,2012,4,returns,"80,270"
104,DC,2012,5,returns,"50,160"
105,DC,2012,6,returns,"29,470"
106,DC,2012,7,returns,"40,980"
107,DC,2012,8,returns,"16,890"
108,DC,2012,9,returns,"2,950"
109,DC,2012,10,returns,"1,790"
110,FL,2012,0,returns,"9,226,420"
111,FL,2012,1,returns,"189,890"
112,FL,2012,2,returns,"1,530,880"
113,FL,2012,3,returns,"2,571,570"
114,FL,2012,4,returns,"2,193,370"
115,FL,2012,5,returns,"1,069,120"
116,FL,2012,6,returns,"631,550"
117,FL,2012,7,returns,"759,660"
118,FL,2012,8,returns,"210,200"
119,FL,2012,9,returns,"41,770"
120,FL,2012,10,returns,"28,420"
121,GA,2012,0,returns,"4,335,320"
122,GA,2012,1,returns,"66,780"
123,GA,2012,2,returns,"682,770"
124,GA,2012,3,returns,"1,189,110"
125,GA,2012,4,returns,"1,017,650"
126,GA,2012,5,returns,"521,290"
127,GA,2012,6,returns,"317,560"
128,GA,2012,7,returns,"406,650"
129,GA,2012,8,returns,"107,510"
130,GA,2012,9,returns,"17,530"
131,GA,2012,10,returns,"8,470"
132,HI,2012,0,returns,"665,320"
133,HI,2012,1,returns,"12,890"
134,HI,2012,2,returns,"96,820"
135,HI,2012,3,returns,"140,760"
136,HI,2012,4,returns,"172,130"
137,HI,2012,5,returns,"93,820"
138,HI,2012,6,returns,"59,260"
139,HI,2012,7,returns,"72,430"
140,HI,2012,8,returns,"14,420"
141,HI,2012,9,returns,"1,920"
142,HI,2012,10,returns,850
143,ID,2012,0,returns,"679,220"
144,ID,2012,1,returns,"14,050"
145,ID,2012,2,returns,"108,210"
146,ID,2012,3,returns,"163,600"
147,ID,2012,4,returns,"169,000"
148,ID,2012,5,returns,"96,450"
149,ID,2012,6,returns,"56,920"
150,ID,2012,7,returns,"56,580"
151,ID,2012,8,returns,"11,380"
152,ID,2012,9,returns,"2,020"
153,ID,2012,10,returns,"1,020"
154,IL,2012,0,returns,"6,077,090"
155,IL,2012,1,returns,"80,740"
156,IL,2012,2,returns,"961,030"
157,IL,2012,3,returns,"1,348,600"
158,IL,2012,4,returns,"1,363,680"
159,IL,2012,5,returns,"821,440"
160,IL,2012,6,returns,"537,820"
161,IL,2012,7,returns,"717,840"
162,IL,2012,8,returns,"193,730"
163,IL,2012,9,returns,"33,670"
164,IL,2012,10,returns,"18,550"
165,IN,2012,0,returns,"3,029,600"
166,IN,2012,1,returns,"34,820"
167,IN,2012,2,returns,"543,540"
168,IN,2012,3,returns,"701,820"
169,IN,2012,4,returns,"720,870"
170,IN,2012,5,returns,"415,460"
171,IN,2012,6,returns,"263,290"
172,IN,2012,7,returns,"281,200"
173,IN,2012,8,returns,"54,930"
174,IN,2012,9,returns,"9,260"
175,IN,2012,10,returns,"4,420"
176,IA,2012,0,returns,"1,426,710"
177,IA,2012,1,returns,"16,950"
178,IA,2012,2,returns,"209,460"
179,IA,2012,3,returns,"298,780"
180,IA,2012,4,returns,"351,460"
181,IA,2012,5,returns,"216,670"
182,IA,2012,6,returns,"142,750"
183,IA,2012,7,returns,"150,840"
184,IA,2012,8,returns,"32,060"
185,IA,2012,9,returns,"5,350"
186,IA,2012,10,returns,"2,400"
187,KS,2012,0,returns,"1,323,740"
188,KS,2012,1,returns,"17,570"
189,KS,2012,2,returns,"218,760"
190,KS,2012,3,returns,"285,950"
191,KS,2012,4,returns,"314,760"
