,state,agi_stub,returns,agi,inc,wages,interest,dividends,business,capital_gains,s_corp,rent,year,total,top_01,top_05,top_10,top_50,agi_01,agi_05,agi_10,agi_50,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_50,total_sal_amt,sum_sal_01,sum_sal_05,sum_sal_10,sum_sal_50,total_int_amt,sum_int_01,sum_int_05,sum_int_10,sum_int_50,total_div_amt,sum_div_01,sum_div_05,sum_div_10,sum_div_50,total_businc_amt,sum_businc_01,sum_businc_05,sum_businc_10,sum_businc_50,total_cpgain_amt,sum_cpgain_01,sum_cpgain_05,sum_cpgain_10,sum_cpgain_50,total_scorp_amt,sum_scorp_01,sum_scorp_05,sum_scorp_10,sum_scorp_50,agi_stub_cat
0,US,0,145025450,9085078279,9218461445,6303276607,111370731,256489955,309555008,604338742,535203164,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
1,US,1,2248050,-200411687,-197664227,19998700,5459617,4450089,-8670567,12426232,-40096211,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
2,US,2,22638580,119219659,123494887,92959155,2250044,2931189,15588114,-411376,-481844,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
3,US,3,34059840,582485261,592337251,438883955,5324945,7980132,45904783,1116496,1418253,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
4,US,4,33965310,1226186333,1242450558,991539925,8115040,12201578,36763616,3666566,6431205,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
5,US,5,19113420,1175834134,1190204911,911470386,8196051,13702117,28641597,5998761,9886410,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000 under $75,000"
6,US,6,12138470,1050206935,1062105520,802552766,7301932,13341650,24975239,7757683,12215925,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
7,US,7,15587490,2091248402,2118006033,1593612822,15468487,34201531,61930314,30138620,51391530,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
8,US,8,4181040,1190975341,1213870933,809690305,13059363,34954893,58501620,55033614,108094549,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
9,US,9,700970,474618768,484491294,257953277,7461150,20840364,20879603,48111097,92029753,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
10,US,10,392270,1374715133,1389164285,384615315,38734103,111886411,25040689,440501049,294313594,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
11,AL,0,2050890,104270067,105597712,75331835,1027014,1763154,2992588,3822141,6111508,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
12,AL,1,25810,-1894893,-1872997,180230,44174,43098,-141131,109455,-400523,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
13,AL,2,315080,1778806,1837366,1355262,32474,27706,235027,-2088,-9100,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
14,AL,3,575210,9742551,9879064,7663737,73247,70789,639998,13604,8913,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
